22.8945	12.8986	2.1987	0.557	0.2943	14.9756	9.3203	-7.9253	52.36	118.838	+1
30.3139	11.9777	2.5366	0.4244	0.2137	22.5751	25.2755	9.3084	30.757	157.636	+1
36.3453	11.6641	2.721	0.4125	0.2367	22.6339	28.9547	-6.721	58.16	234.293	-1
88.6132	53.2073	3.5684	0.1767	0.0982	-48.5041	-73.2739	-40.4508	59.808	306.821	-1
79.8595	36.1835	3.675	0.2153	0.1149	-26.4658	-19.1244	-12.5419	1.827	356.012	+1
16.2721	11.4997	2.382	0.6017	0.3589	-2.4045	6.0009	6.8902	25.4875	201.869	-1
40.4564	16.8244	2.6702	0.3739	0.234	-14.4532	-22.0768	11.572	18.698	143.712	+1
101.542	20.1867	3.2626	0.431	0.2319	-57.9937	-73.5207	-24.8057	15.5822	384.412	-1
18.5924	6.937	2.4935	0.8475	0.4254	-8.2349	12.2213	-3.9562	83.5983	171.524	-1
19.8108	18.5803	2.3454	0.5418	0.3002	-11.4779	-20.7586	16.3058	87.5784	96.2807	-1
17.6353	2.6886	2.2643	0.8113	0.4895	4.914	7.0239	3.2227	26.5873	208.5689	-1
23.9807	11.7305	2.6232	0.4738	0.2702	-15.5843	10.4892	6.9346	3.786	201.128	-1
51.8055	34.1485	3.4283	0.1749	0.0893	8.4382	-44.1334	-10.7532	42.267	130.809	-1
32.1778	18.286	2.9457	0.3773	0.2045	29.0934	18.0695	17.8736	39.654	163.181	-1
37.2735	20.2912	2.3909	0.3943	0.2215	-40.9821	-25.8559	13.4106	17.7959	215.424	+1
57.8276	21.7883	3.1697	0.2327	0.1377	33.7419	49.5686	14.7685	1.965	243.866	+1
45.397	9.8762	2.872	0.3904	0.2007	6.917	47.6066	-3.6372	29.0002	245.3801	-1
38.9566	14.1448	2.7662	0.5948	0.384	-38.6958	-32.9909	4.7953	17.0214	314.7395	-1
57.055	25.7825	3.0648	0.2136	0.1227	-16.7561	45.3846	11.8975	18.2893	200.365	+1
18.2899	16.9979	2.4362	0.5165	0.2912	14.9739	13.8627	10.3602	23.367	197.529	+1
53.7339	15.4395	2.4298	0.4572	0.2955	-45.8108	-40.3603	-9.3853	1.886	32.6827	+1
174.5756	58.4529	3.458	0.184	0.0971	-137.2611	-198.1595	45.5054	27.5121	359.1252	-1
18.8069	16.4272	2.2355	0.5756	0.2994	-1.0363	-10.5534	16.8676	29.692	224.387	+1
28.2866	6.7738	2.1959	0.586	0.2962	-7.1484	-17.522	1.2828	36.5127	274.118	+1
94.2528	26.9852	2.8239	0.4415	0.2741	-72.1274	-69.2278	20.2146	49.8155	277.6757	-1
19.1984	7.4598	2.0881	0.7429	0.4531	-0.9994	6.1041	4.226	11.249	131.125	+1
24.4287	14.7729	2.5484	0.396	0.2419	8.0372	15.2399	8.4919	12.329	218.88	-1
36.9888	23.6138	3.1908	0.2256	0.1138	51.4269	23.8581	14.3367	5.2373	182.452	+1
16.082	2.4686	2.536	0.8703	0.6098	2.05	6.6183	3.7406	67.027	200.1501	-1
32.5567	25.388	2.9191	0.2361	0.138	21.6256	18.3276	-17.836	2.952	101.115	+1
94.8262	34.3604	3.6921	0.1908	0.0999	-44.6184	51.842	-15.2767	0.5894	353.536	+1
53.238	20.45	3.0406	0.2723	0.1389	54.0039	43.6942	12.9959	5.6926	235.78	+1
36.2224	9.3149	2.643	0.4528	0.2696	29.1757	28.1541	4.8776	5.066	136.539	-1
250.088	45.9908	4.0203	0.0752	0.0495	-353.26	-206.378	-18.5736	82.2326	43.3838	-1
